날짜,종가,시가,고가,저가,거래량,변동 %
2024- 08- 20,398.0,400.0,401.0,397.75,156.42K,-0.56%
2022- 07- 29,616.25,615.0,632.0,611.5,99.16K,0.20%
2021- 03- 29,546.75,551.75,552.0,542.25,119.80K,-1.04%
2024- 08- 16,392.5,396.0,397.5,390.0,215.49K,-1.13%
2022- 06- 23,746.75,767.25,767.25,734.5,215.84K,-2.77%
2022- 01- 25,620.0,620.0,631.0,618.5,298.40K,-0.16%
2024- 08- 30,401.0,395.0,401.75,394.5,187.44K,1.26%
2022- 02- 28,697.5,688.0,704.75,679.0,15.65K,5.76%
2022- 01- 28,636.0,623.25,637.25,623.0,188.66K,1.72%
2021- 06- 10,699.0,691.0,717.5,687.75,256.32K,1.19%
2024- 10- 29,413.75,410.0,414.75,410.0,197.43K,0.73%
2024- 05- 15,462.5,467.75,473.25,461.5,222.34K,1.93%
2021- 07- 02,697.25,720.0,727.0,683.0,4.75K,-3.13%
2024- 11- 08,431.0,427.5,434.75,426.75,347.31K,0.82%
2023- 08- 08,485.75,482.0,488.75,477.25,124.55K,0.73%
2023- 08- 10,483.25,481.5,485.5,480.0,93.32K,0.47%
2021- 11- 05,553.0,560.0,562.75,552.25,192.12K,-1.12%
2022- 12- 09,634.75,631.5,639.75,631.5,0.45K,0.44%
2021- 07- 26,549.75,549.25,551.25,536.75,72.95K,0.46%
2022- 08- 10,621.25,615.0,632.5,613.0,134.33K,0.93%
2024- 10- 17,406.75,404.5,407.5,399.0,255.48K,0.49%
2025- 01- 21,490.0,484.25,490.5,482.5,295.11K,1.19%
2024- 09- 03,409.25,400.5,410.0,398.5,238.85K,2.06%
2023- 09- 01,464.75,461.0,468.25,460.25,3.31K,0.81%
2021- 01- 11,492.25,496.5,500.5,490.25,176.56K,-0.81%
2024- 06- 12,454.25,449.0,455.0,448.5,276.47K,1.06%
2022- 08- 30,679.75,681.25,682.75,671.25,48.46K,-0.59%
2021- 06- 08,680.0,682.0,698.0,677.5,224.00K,0.11%
2021- 10- 18,532.75,525.75,533.75,523.0,119.58K,1.33%
2025- 03- 26,451.25,458.75,461.0,450.75,154.49K,-1.42%
2021- 08- 10,549.25,548.5,550.25,544.0,143.63K,-0.18%
2025- 02- 13,493.5,489.75,494.25,485.25,269.32K,0.66%
2023- 06- 23,630.75,655.75,657.5,629.0,142.97K,-4.50%
2022- 09- 08,668.5,671.0,675.25,659.0,,-1.22%
2024- 04- 08,435.5,433.75,437.5,431.5,215.99K,0.29%
2024- 01- 26,446.25,451.0,451.75,445.5,135.73K,-1.22%
2021- 11- 11,569.5,567.75,579.0,566.0,264.52K,0.04%
2023- 01- 03,670.5,677.25,681.25,668.0,155.54K,-1.18%
2022- 10- 18,681.0,683.0,683.75,674.5,147.46K,-0.37%
2021- 10- 05,537.5,540.0,543.0,535.25,119.60K,-0.60%
2021- 12- 27,614.75,608.25,615.5,607.0,123.21K,1.48%
2022- 01- 10,599.75,605.25,608.0,596.25,135.27K,-1.15%
2024- 03- 26,432.5,437.25,440.75,432.0,155.31K,-1.20%
2022- 11- 04,681.0,679.25,685.25,678.5,112.56K,0.26%
2024- 02- 05,442.75,442.75,445.0,439.5,137.66K,0.00%
2023- 08- 17,473.0,470.0,475.0,464.75,69.17K,0.75%
2024- 09- 04,412.75,408.75,413.5,407.5,205.92K,0.86%
2021- 09- 08,498.25,497.5,504.0,495.0,0.45K,0.50%
2022- 03- 11,764.5,758.0,768.5,755.0,0.23K,0.89%
2022- 09- 23,676.75,687.0,688.0,669.5,154.39K,-1.67%
2021- 03- 31,564.25,538.25,564.25,536.25,145.90K,4.64%
2023- 02- 02,675.25,681.0,686.0,674.25,149.91K,-0.84%
2021- 09- 03,508.0,516.75,518.25,506.75,0.97K,-1.60%
2023- 05- 02,638.0,641.75,652.0,635.5,5.51K,-0.23%
2022- 06- 15,774.0,767.0,779.75,762.0,105.91K,0.75%
2024- 09- 09,384.25,383.75,385.25,381.0,0.38K,-5.42%
2024- 09- 10,379.5,382.75,382.75,380.0,0.30K,-1.24%
2021- 12- 23,605.75,601.5,607.0,600.5,108.57K,0.54%
2023- 11- 24,482.5,487.5,489.25,481.75,109.60K,-1.08%
2021- 11- 23,580.5,576.25,581.0,572.5,179.30K,0.65%
2021- 04- 09,577.25,579.0,595.0,575.5,249.74K,-0.43%
2022- 08- 29,683.75,675.0,684.25,668.5,86.64K,2.24%
2022- 03- 23,757.75,752.25,770.5,749.0,112.40K,0.63%
2023- 11- 20,487.5,485.5,488.25,482.5,111.05K,0.46%
2023- 06- 07,604.25,605.0,612.5,601.75,174.30K,-0.62%
2023- 12- 22,473.0,472.5,474.0,471.5,80.48K,0.11%
2024- 07- 15,404.25,416.0,416.0,403.25,168.50K,0.56%
2024- 10- 11,415.75,418.5,422.75,415.25,224.07K,-0.66%
2021- 05- 24,657.25,652.25,658.5,645.5,106.87K,-0.34%
2022- 11- 08,667.5,675.75,677.0,666.25,227.16K,-1.22%
